"event","dPSI","padj"
"SE1",0.750430978342917,0.001
"SE2",-0.179548954314461,0.002
"SE3",0.405805424509653,0.003
"SE4",-0.429505987802626,0.004
"SE5",0.115947462401972,0.190261355365627
"SE6",0.0867726937474446,0.139153312421404
"SE7",0.22119555634469,0.228808514188509
"SE8",-0.119030088283037,0.0475373322465457
"SE9",0.0276658333822256,0.281736463964451
"SE10",0.0178310773323219,0.273840174051235
"SE11",-0.0108662075814292,0.319689917786047
"SE12",-0.0330546621422887,0.197362147022504
"SE13",0.115895699719805,0.0655741914757527
"SE14",0.0490577010035326,0.376663113089744
"SE15",-0.00967803958738053,0.233922113343608
"SE16",0.143543372323852,0.128309013504069
"SE17",0.148751354037521,0.046545872310875
"SE18",-0.12371170164925,0.158002940467792
"SE19",-0.148710772323979,0.250765777258435
"SE20",0.0250663354169038,0.338409724085825
"SE21",0.0414964285583697,0.291230784549145
"SE22",-0.161625001778558,0.158461178967496
"SE23",-0.342125840372877,0.285817258293973
"SE24",-0.211064213850433,0.307726405220572
