"gene","log2FC","pvalue","padj","pct.1","pct.2","method","contrast"
"Rinl",-0.0188315658968943,1.73492398396993e-14,3.42977122391016e-10,0.121,0.055,"macrophage_FindMarkers","Sepsis vs Control"
"Cdkn1b",-0.0459838516768449,1.73921676806969e-14,3.43825762879697e-10,0.221,0.123,"macrophage_FindMarkers","Sepsis vs Control"
"Shoc2",-0.0505237136472907,1.74590490810319e-14,3.4514794128292e-10,0.159,0.078,"macrophage_FindMarkers","Sepsis vs Control"
"Clec2d",-0.0905616255835882,1.76462816032257e-14,3.48849341014169e-10,0.216,0.117,"macrophage_FindMarkers","Sepsis vs Control"
"Ndufb3",-0.17896790769814,1.7940332117347e-14,3.54662425627832e-10,0.526,0.326,"macrophage_FindMarkers","Sepsis vs Control"
"Fem1b",-0.066673402181046,1.79672193825514e-14,3.55193959973659e-10,0.113,0.052,"macrophage_FindMarkers","Sepsis vs Control"
"Azin1",-0.209652112315232,1.82656228408619e-14,3.61093097940998e-10,0.573,0.367,"macrophage_FindMarkers","Sepsis vs Control"
"Stk11",-0.29504757872354,1.86422291515839e-14,3.68538228097663e-10,0.232,0.129,"macrophage_FindMarkers","Sepsis vs Control"
"Sec11a",-0.146318213525836,1.87425199908167e-14,3.70520877698455e-10,0.393,0.237,"macrophage_FindMarkers","Sepsis vs Control"
"Pmm1",-0.212741306759479,1.90235835352698e-14,3.76077222908748e-10,0.115,0.051,"macrophage_FindMarkers","Sepsis vs Control"
"Dnpep",-0.259252076416226,1.90670014671232e-14,3.76935552003558e-10,0.13,0.059,"macrophage_FindMarkers","Sepsis vs Control"
"Fcna",-2.48792695912071,1.99593583049047e-14,3.94576554329661e-10,0.118,0.189,"macrophage_FindMarkers","Sepsis vs Control"
"Fbxw4",-2.50490297350271,2.06271106156494e-14,4.07777349760773e-10,0.063,0.127,"macrophage_FindMarkers","Sepsis vs Control"
"Slbp",-0.204756200067167,2.10490537772383e-14,4.16118744122225e-10,0.362,0.227,"macrophage_FindMarkers","Sepsis vs Control"
"Smap1",-0.249436612371848,2.17153831695194e-14,4.29291409878229e-10,0.298,0.175,"macrophage_FindMarkers","Sepsis vs Control"
"Zfp407",0.0915276980375754,2.19141767938495e-14,4.33221361037611e-10,0.13,0.057,"macrophage_FindMarkers","Sepsis vs Control"
"Nt5c3",0.106029108012809,2.19584265509785e-14,4.34096134486293e-10,0.111,0.048,"macrophage_FindMarkers","Sepsis vs Control"
"Tnf",0.421085382582812,2.20120555182369e-14,4.35156325540025e-10,0.737,0.546,"macrophage_FindMarkers","Sepsis vs Control"
"Trim25",-0.250955413723032,2.20886246662784e-14,4.36670021027658e-10,0.257,0.143,"macrophage_FindMarkers","Sepsis vs Control"
"Arl6ip5",-0.141775046690052,2.3324604369903e-14,4.61104103788613e-10,0.285,0.159,"macrophage_FindMarkers","Sepsis vs Control"
"Abhd12",-1.4183145360833,2.44973868840708e-14,4.84288841311197e-10,0.359,0.379,"macrophage_FindMarkers","Sepsis vs Control"
"Tnpo3",-0.266768988893571,2.52354429167753e-14,4.9887947102173e-10,0.221,0.12,"macrophage_FindMarkers","Sepsis vs Control"
"Ddx42",-0.142405178241023,2.55728687092401e-14,5.05550041512967e-10,0.218,0.117,"macrophage_FindMarkers","Sepsis vs Control"
"Leprotl1",-0.300916922709631,2.56592408153233e-14,5.07257531678127e-10,0.276,0.162,"macrophage_FindMarkers","Sepsis vs Control"
"Relch",-0.194036265420295,2.60059599102493e-14,5.14111821465718e-10,0.144,0.072,"macrophage_FindMarkers","Sepsis vs Control"
"Pop4",0.0839314296671532,2.60694545648897e-14,5.15367047293304e-10,0.105,0.041,"macrophage_FindMarkers","Sepsis vs Control"
"Gbf1",-0.177438000148328,2.66145394739315e-14,5.26142830860151e-10,0.136,0.061,"macrophage_FindMarkers","Sepsis vs Control"
"Rufy3",-0.189324482429819,2.80310696513961e-14,5.5414621593845e-10,0.108,0.042,"macrophage_FindMarkers","Sepsis vs Control"
"Plcg2",0.0147711256179885,2.80674872093981e-14,5.54866154642591e-10,0.149,0.068,"macrophage_FindMarkers","Sepsis vs Control"
"Smarcad1",-0.180139056275209,2.99452599479469e-14,5.91987843910962e-10,0.142,0.07,"macrophage_FindMarkers","Sepsis vs Control"
"Ppib",0.166104311138219,3.01412738988965e-14,5.95862843707284e-10,0.75,0.564,"macrophage_FindMarkers","Sepsis vs Control"
"Tsta3",-0.0181579698141503,3.02269544161349e-14,5.9755666185257e-10,0.112,0.05,"macrophage_FindMarkers","Sepsis vs Control"
"Mau2",-0.157293348876989,3.11705592302233e-14,6.16210785422284e-10,0.127,0.062,"macrophage_FindMarkers","Sepsis vs Control"
"Snta1",-0.417353645604359,3.14981945556636e-14,6.22687808170913e-10,0.124,0.058,"macrophage_FindMarkers","Sepsis vs Control"
"Ggps1",0.239729673822571,3.19959885055131e-14,6.32528696765489e-10,0.107,0.043,"macrophage_FindMarkers","Sepsis vs Control"
"Hnrnpll",-0.345077757894469,3.25945508080997e-14,6.44361674925322e-10,0.17,0.087,"macrophage_FindMarkers","Sepsis vs Control"
"Pcsk7",0.1108197732118,3.26360458520828e-14,6.45181990449825e-10,0.113,0.049,"macrophage_FindMarkers","Sepsis vs Control"
"Birc6",-0.326678515697304,3.3341347622414e-14,6.59125101147502e-10,0.274,0.157,"macrophage_FindMarkers","Sepsis vs Control"
"Rfk",-0.168750204441313,3.34112227561567e-14,6.60506462666461e-10,0.156,0.079,"macrophage_FindMarkers","Sepsis vs Control"
"Commd4",-0.227649518743659,3.37387323777226e-14,6.66981000375199e-10,0.266,0.159,"macrophage_FindMarkers","Sepsis vs Control"
"Tsnax",-0.166730552109963,3.49569515870708e-14,6.91063975924804e-10,0.111,0.052,"macrophage_FindMarkers","Sepsis vs Control"
"Errfi1",0.341654271903448,3.58978876088665e-14,7.09665340139682e-10,0.456,0.304,"macrophage_FindMarkers","Sepsis vs Control"
"Abcc1",-0.405857326571602,3.62531726617428e-14,7.16688970349994e-10,0.198,0.104,"macrophage_FindMarkers","Sepsis vs Control"
"Tnfrsf12a",-0.169063599890771,3.66828048522512e-14,7.25182369124154e-10,0.281,0.169,"macrophage_FindMarkers","Sepsis vs Control"
"Lipe",0.123432532428341,3.89438947842208e-14,7.69881855989261e-10,0.128,0.059,"macrophage_FindMarkers","Sepsis vs Control"
"Rpl10-ps3",-0.0977936557568069,3.94222572441394e-14,7.79338603459393e-10,0.263,0.146,"macrophage_FindMarkers","Sepsis vs Control"
"Ncbp2",-0.322617405856948,3.95840562286218e-14,7.82537207583624e-10,0.179,0.09,"macrophage_FindMarkers","Sepsis vs Control"
"Amd1",-0.12665785887395,3.96607079742669e-14,7.84052535943282e-10,0.106,0.046,"macrophage_FindMarkers","Sepsis vs Control"
"Scamp5",-0.613225361717785,4.17339690881859e-14,8.25038834904348e-10,0.125,0.057,"macrophage_FindMarkers","Sepsis vs Control"
"Cd47",0.0652870970956048,4.21398686461354e-14,8.33063063265451e-10,0.618,0.416,"macrophage_FindMarkers","Sepsis vs Control"
"Rnpc3",0.185506205310594,4.25821790756001e-14,8.41807098145539e-10,0.109,0.045,"macrophage_FindMarkers","Sepsis vs Control"
"1110038F14Rik",-0.203735911455946,4.34028392616266e-14,8.58030729363096e-10,0.186,0.101,"macrophage_FindMarkers","Sepsis vs Control"
"Tmf1",-0.264448354404125,4.48052705905262e-14,8.85755394304112e-10,0.201,0.107,"macrophage_FindMarkers","Sepsis vs Control"
"Tmem63a",-0.52443408619912,4.57823630469046e-14,9.05071535074256e-10,0.115,0.056,"macrophage_FindMarkers","Sepsis vs Control"
"Trim28",-0.638284878700022,4.60252886688015e-14,9.09873931693538e-10,0.218,0.122,"macrophage_FindMarkers","Sepsis vs Control"
"Ppfia1",-0.33683431612903,4.69436096935568e-14,9.28028220031924e-10,0.132,0.063,"macrophage_FindMarkers","Sepsis vs Control"
"Pom121",-0.366219260405802,4.737942370413e-14,9.36643827206946e-10,0.204,0.114,"macrophage_FindMarkers","Sepsis vs Control"
"Hist1h1e",0.395002126124875,4.77971933241779e-14,9.44902714825673e-10,0.119,0.051,"macrophage_FindMarkers","Sepsis vs Control"
"Slfn5",-0.240988191002337,5.00933301042324e-14,9.9029504283057e-10,0.31,0.18,"macrophage_FindMarkers","Sepsis vs Control"
"Phlda3",0.718012676372514,5.04800780321934e-14,9.97940662618431e-10,0.1,0.041,"macrophage_FindMarkers","Sepsis vs Control"
"Neat1",0.41356371009868,5.06131221514952e-14,1.00057081181291e-09,0.874,0.732,"macrophage_FindMarkers","Sepsis vs Control"
"Aida",-0.113621559799249,5.19959516954909e-14,1.02790796906816e-09,0.147,0.073,"macrophage_FindMarkers","Sepsis vs Control"
"Zup1",0.183139229830865,5.23650592871698e-14,1.03520485704806e-09,0.13,0.061,"macrophage_FindMarkers","Sepsis vs Control"
"Eif4e",-0.310700703865153,5.25735004691717e-14,1.03932553077506e-09,0.67,0.427,"macrophage_FindMarkers","Sepsis vs Control"
"Ccnd2",-0.0739736081082447,5.33978385483919e-14,1.05562187026316e-09,0.209,0.122,"macrophage_FindMarkers","Sepsis vs Control"
"Atg101",-0.344311485664131,5.38294073230817e-14,1.06415355337e-09,0.261,0.143,"macrophage_FindMarkers","Sepsis vs Control"
"Guca1a",-0.0405279173957327,5.38803416707244e-14,1.06516047448855e-09,0.19,0.093,"macrophage_FindMarkers","Sepsis vs Control"
"Dcun1d1",-0.0922128524433652,5.49032484255374e-14,1.08538231812445e-09,0.134,0.064,"macrophage_FindMarkers","Sepsis vs Control"
"Mrps33",-0.104887895338016,5.53059054563417e-14,1.09334244496642e-09,0.461,0.28,"macrophage_FindMarkers","Sepsis vs Control"
"Scp2",-1.18479121296895,5.75895188878094e-14,1.1384871988931e-09,0.413,0.416,"macrophage_FindMarkers","Sepsis vs Control"
"Ssna1",-0.0806316922603105,5.98251908620093e-14,1.18268419815106e-09,0.269,0.15,"macrophage_FindMarkers","Sepsis vs Control"
"Ncoa6",-0.0503290057405574,6.17604604914909e-14,1.22094254345628e-09,0.111,0.05,"macrophage_FindMarkers","Sepsis vs Control"
"Rmi1",0.150356549114932,6.75599409904878e-14,1.33559247344095e-09,0.105,0.049,"macrophage_FindMarkers","Sepsis vs Control"
"Eif2a",-0.246915624249643,6.78259915535787e-14,1.3408520270227e-09,0.257,0.149,"macrophage_FindMarkers","Sepsis vs Control"
"Naxd",-0.177280398071618,6.80412907021364e-14,1.34510827589053e-09,0.233,0.123,"macrophage_FindMarkers","Sepsis vs Control"
"Sdhaf2",0.0196964701230491,6.89784529109e-14,1.36363503559558e-09,0.108,0.047,"macrophage_FindMarkers","Sepsis vs Control"
"Ppp1r35",-0.160608657637305,7.12170357604847e-14,1.40788957994902e-09,0.158,0.078,"macrophage_FindMarkers","Sepsis vs Control"
"Fnip1",-0.283745747947299,7.15972557538884e-14,1.41540614899862e-09,0.441,0.274,"macrophage_FindMarkers","Sepsis vs Control"
"Ccdc134",-0.021948716560467,7.19869110227017e-14,1.42310924400779e-09,0.113,0.049,"macrophage_FindMarkers","Sepsis vs Control"
"Chtop",-0.15003439713416,7.27765824827537e-14,1.43872025910156e-09,0.316,0.181,"macrophage_FindMarkers","Sepsis vs Control"
"Dennd4c",-0.207703875838403,8.73967168599899e-14,1.72774569560514e-09,0.107,0.045,"macrophage_FindMarkers","Sepsis vs Control"
"Sap18",-0.0795720904565411,8.95765363763342e-14,1.77083854762375e-09,0.631,0.405,"macrophage_FindMarkers","Sepsis vs Control"
"Acadvl",-0.323434186054616,9.05075111940015e-14,1.78924298879422e-09,0.195,0.102,"macrophage_FindMarkers","Sepsis vs Control"
"Elk3",-0.142151042848316,9.07139321998779e-14,1.79332372565939e-09,0.186,0.095,"macrophage_FindMarkers","Sepsis vs Control"
"Ino80",-0.125483272181951,9.25345942749477e-14,1.82931639422144e-09,0.136,0.066,"macrophage_FindMarkers","Sepsis vs Control"
"F11r",0.281905554390587,9.46291575115099e-14,1.87072381484504e-09,0.11,0.048,"macrophage_FindMarkers","Sepsis vs Control"
"Nasp",-0.176366383218001,9.74622280308566e-14,1.926730785942e-09,0.499,0.317,"macrophage_FindMarkers","Sepsis vs Control"
"Myh9",-0.266515499372329,1.00863632901288e-13,1.99397315882557e-09,0.516,0.328,"macrophage_FindMarkers","Sepsis vs Control"
"Hnrnph2",-0.249375216064637,1.01280206192357e-13,2.0022083962167e-09,0.258,0.147,"macrophage_FindMarkers","Sepsis vs Control"
"Eef1a1",-0.208801581665487,1.03705060080109e-13,2.05014533272367e-09,0.987,0.931,"macrophage_FindMarkers","Sepsis vs Control"
"Ubr4",-0.283610867777983,1.04407395034364e-13,2.06402979243434e-09,0.143,0.072,"macrophage_FindMarkers","Sepsis vs Control"
"Uap1",-0.364393000259682,1.04951996076922e-13,2.07479601044467e-09,0.165,0.086,"macrophage_FindMarkers","Sepsis vs Control"
"Arrb2",-0.225198597867758,1.05367307280126e-13,2.08300629762082e-09,0.449,0.281,"macrophage_FindMarkers","Sepsis vs Control"
"Qsox1",0.0186218795574966,1.07103618376881e-13,2.11733143169255e-09,0.101,0.042,"macrophage_FindMarkers","Sepsis vs Control"
"Zrsr2",-0.223025477543434,1.08821741304709e-13,2.1512970038528e-09,0.305,0.19,"macrophage_FindMarkers","Sepsis vs Control"
"Kat2b",-0.320708085709462,1.12644677782709e-13,2.22687263508638e-09,0.101,0.046,"macrophage_FindMarkers","Sepsis vs Control"
"Tcim",0.0210463175973133,1.14670841590819e-13,2.26692786740891e-09,0.324,0.212,"macrophage_FindMarkers","Sepsis vs Control"
"Pbx3",0.00916467117257946,1.15323164948243e-13,2.27982364786183e-09,0.133,0.065,"macrophage_FindMarkers","Sepsis vs Control"
"Mpv17l2",0.14706856782246,1.15395461772003e-13,2.28125288377073e-09,0.149,0.07,"macrophage_FindMarkers","Sepsis vs Control"
"Skp1a",-0.344247045127575,1.17013215080391e-13,2.31323424892425e-09,0.347,0.209,"macrophage_FindMarkers","Sepsis vs Control"
"Eif2s3x",-0.322690435771742,1.17938483109676e-13,2.33152587259519e-09,0.149,0.074,"macrophage_FindMarkers","Sepsis vs Control"
"Ufl1",-0.116078342158574,1.19145829375838e-13,2.35539390093095e-09,0.16,0.083,"macrophage_FindMarkers","Sepsis vs Control"
"Zfp384",0.144454215266808,1.25948584501735e-13,2.48987756701481e-09,0.117,0.054,"macrophage_FindMarkers","Sepsis vs Control"
"Cdc37l1",-0.106555747035489,1.2674946122933e-13,2.50571009904263e-09,0.127,0.061,"macrophage_FindMarkers","Sepsis vs Control"
"Plxnd1",-2.57315513264118,1.26965929741215e-13,2.50998946505409e-09,0.052,0.111,"macrophage_FindMarkers","Sepsis vs Control"
"Rnf7",-0.170969811906471,1.27814703982688e-13,2.52676888303376e-09,0.468,0.284,"macrophage_FindMarkers","Sepsis vs Control"
"Iws1",-0.182778801368998,1.27890258174031e-13,2.52826251384241e-09,0.162,0.08,"macrophage_FindMarkers","Sepsis vs Control"
"Klc1",-0.29480585284888,1.30344348603515e-13,2.57677742754289e-09,0.141,0.069,"macrophage_FindMarkers","Sepsis vs Control"
"Zdhhc9",-0.341870881188992,1.352124196669e-13,2.67301432439494e-09,0.122,0.059,"macrophage_FindMarkers","Sepsis vs Control"
"Ubn2",-0.307505256481073,1.36124375027222e-13,2.69104276991314e-09,0.169,0.087,"macrophage_FindMarkers","Sepsis vs Control"
"Tmem50a",-1.2711189509716,1.36386195700972e-13,2.69621870281252e-09,0.409,0.412,"macrophage_FindMarkers","Sepsis vs Control"
"Pdia3",0.0747679943786785,1.40773976327664e-13,2.7829607380216e-09,0.663,0.466,"macrophage_FindMarkers","Sepsis vs Control"
"Sel1l",-0.493743377712347,1.41749410312734e-13,2.80224409247244e-09,0.143,0.065,"macrophage_FindMarkers","Sepsis vs Control"
"Dip2c",-0.148187857722202,1.43907011327053e-13,2.84489770692452e-09,0.127,0.058,"macrophage_FindMarkers","Sepsis vs Control"
"Thap12",-0.338888442659386,1.4398514489868e-13,2.84644232950201e-09,0.124,0.057,"macrophage_FindMarkers","Sepsis vs Control"
"Emc3",-0.264122811928629,1.45070149695828e-13,2.86789178933682e-09,0.267,0.152,"macrophage_FindMarkers","Sepsis vs Control"
"Cdc42",-0.367459621245867,1.4541541838658e-13,2.8747174060843e-09,0.826,0.749,"macrophage_FindMarkers","Sepsis vs Control"
"Cdkn2aipnl",0.2080954720358,1.48367446679149e-13,2.9330760534001e-09,0.122,0.051,"macrophage_FindMarkers","Sepsis vs Control"
"Lypla1",0.0432464173288358,1.50513789534782e-13,2.9755071053131e-09,0.102,0.041,"macrophage_FindMarkers","Sepsis vs Control"
"Thoc6",-0.226654562166087,1.53516485728856e-13,3.03486740637376e-09,0.139,0.068,"macrophage_FindMarkers","Sepsis vs Control"
"Med25",-0.175158766488102,1.56979860078673e-13,3.10333485389529e-09,0.128,0.059,"macrophage_FindMarkers","Sepsis vs Control"
"Rnmt",-0.402066511748326,1.5728079874555e-13,3.10928411040077e-09,0.116,0.052,"macrophage_FindMarkers","Sepsis vs Control"
"Arfgap2",-0.127596530544476,1.59134517095959e-13,3.14593026847e-09,0.235,0.135,"macrophage_FindMarkers","Sepsis vs Control"
"Pink1",-2.24779716121274,1.59255490256831e-13,3.14832178688730e-09,0.063,0.131,"macrophage_FindMarkers","Sepsis vs Control"
"Cmas",-0.0905597563887373,1.60034347707892e-13,3.16371901983732e-09,0.157,0.076,"macrophage_FindMarkers","Sepsis vs Control"
"Mplkip",0.0749902748349303,1.61815701780258e-13,3.19893460849391e-09,0.229,0.125,"macrophage_FindMarkers","Sepsis vs Control"
"Ifi206",0.00311462605514867,1.65811324220306e-13,3.27792406851122e-09,0.1,0.043,"macrophage_FindMarkers","Sepsis vs Control"
"Prdx4",-1.57719675258383,1.68292504309856e-13,3.32697451770154e-09,0.236,0.289,"macrophage_FindMarkers","Sepsis vs Control"
"Agpat2",-0.173580120549627,1.71533336535534e-13,3.39104252997097e-09,0.126,0.059,"macrophage_FindMarkers","Sepsis vs Control"
"Abr",0.0349673646199422,1.72385375317697e-13,3.40788648465554e-09,0.125,0.054,"macrophage_FindMarkers","Sepsis vs Control"
"Pafah1b3",-2.22982323559311,1.73227249829842e-13,3.42452950188615e-09,0.056,0.113,"macrophage_FindMarkers","Sepsis vs Control"
"Rnf8",0.0583222802430861,1.75804289934609e-13,3.47547500771729e-09,0.112,0.053,"macrophage_FindMarkers","Sepsis vs Control"
"Kmt2b",-0.158464452493039,1.79015162882992e-13,3.53895075503386e-09,0.144,0.068,"macrophage_FindMarkers","Sepsis vs Control"
"Irgm1",0.142208088914765,1.79606136727451e-13,3.55063371696498e-09,0.116,0.051,"macrophage_FindMarkers","Sepsis vs Control"
"Chd8",-0.248054687327564,1.80554891655208e-13,3.5693896531318e-09,0.183,0.1,"macrophage_FindMarkers","Sepsis vs Control"
"Trnt1",0.106604824674012,1.86498243670214e-13,3.68688377911645e-09,0.112,0.049,"macrophage_FindMarkers","Sepsis vs Control"
"Usp4",-0.261240205031144,1.87431593153099e-13,3.70533516504362e-09,0.164,0.082,"macrophage_FindMarkers","Sepsis vs Control"
"Srsf5",-0.475619866648666,1.89714602071115e-13,3.75046796834388e-09,0.872,0.735,"macrophage_FindMarkers","Sepsis vs Control"
"Eif1b",-0.164543184585756,1.93947380281838e-13,3.83414576079166e-09,0.434,0.265,"macrophage_FindMarkers","Sepsis vs Control"
"Supt5",-0.449512815570456,2.0746679999149e-13,4.10141116903177e-09,0.288,0.165,"macrophage_FindMarkers","Sepsis vs Control"
"Smg1",-0.493595996812728,2.10217308744896e-13,4.15578597657785e-09,0.322,0.186,"macrophage_FindMarkers","Sepsis vs Control"
"Chd1",-0.262234429193973,2.11771444711006e-13,4.18650969049188e-09,0.308,0.185,"macrophage_FindMarkers","Sepsis vs Control"
"Tns1",-0.737391836623224,2.19084656500767e-13,4.33108457436366e-09,0.226,0.129,"macrophage_FindMarkers","Sepsis vs Control"
"Zfp592",-0.118599226902941,2.25808540428735e-13,4.46400903573566e-09,0.128,0.061,"macrophage_FindMarkers","Sepsis vs Control"
"Atp2c1",-0.22390303275104,2.34073937337095e-13,4.62740766721704e-09,0.181,0.098,"macrophage_FindMarkers","Sepsis vs Control"
"Serinc1",-0.393875949387305,2.37817927912216e-13,4.7014226168966e-09,0.345,0.215,"macrophage_FindMarkers","Sepsis vs Control"
"Prpf38a",-0.293072953655384,2.38299505899762e-13,4.7109429321324e-09,0.174,0.091,"macrophage_FindMarkers","Sepsis vs Control"
"Mta2",0.101364001963592,2.40251337713223e-13,4.7495286952527e-09,0.134,0.066,"macrophage_FindMarkers","Sepsis vs Control"
"Gle1",-0.307684184950891,2.47191755522547e-13,4.88673381492523e-09,0.103,0.043,"macrophage_FindMarkers","Sepsis vs Control"
