"pseudotime","expression","lineage"
0,-0.301913054737082,"L1"
0.0840336134453782,0.178254853614963,"L1"
0.168067226890756,0.0989335662612168,"L1"
0.252100840336134,0.342729419048287,"L1"
0.336134453781513,-0.00391895038065598,"L1"
0.420168067226891,0.211656855244324,"L1"
0.504201680672269,0.423165997082807,"L1"
0.588235294117647,0.139188438938647,"L1"
0.672268907563025,0.165498827788344,"L1"
0.756302521008403,0.205363251217987,"L1"
0.840336134453782,0.329742123159303,"L1"
0.92436974789916,0.416839000813398,"L1"
1.00840336134454,0.741853380633301,"L1"
1.09243697478992,0.782285946403884,"L1"
1.17647058823529,0.712611988557764,"L1"
1.26050420168067,0.522310863831107,"L1"
1.34453781512605,0.685489272056585,"L1"
1.42857142857143,0.69988786549,"L1"
1.51260504201681,0.703614194211421,"L1"
1.59663865546218,0.678874085143196,"L1"
1.68067226890756,0.81836074209977,"L1"
1.76470588235294,0.725849682816069,"L1"
1.84873949579832,0.817384094829655,"L1"
1.9327731092437,0.583329531442593,"L1"
2.01680672268908,0.758887965114327,"L1"
2.10084033613445,0.68372578038695,"L1"
2.18487394957983,0.904835495640316,"L1"
2.26890756302521,0.815463620193888,"L1"
2.35294117647059,1.09868577339505,"L1"
2.43697478991597,1.01455621450139,"L1"
2.52100840336134,0.904178638076976,"L1"
2.60504201680672,1.05246137085752,"L1"
2.6890756302521,1.00941802933538,"L1"
2.77310924369748,0.868465134614129,"L1"
2.85714285714286,1.11224358623608,"L1"
2.94117647058824,0.802137241557011,"L1"
3.02521008403361,1.01175536107601,"L1"
3.10924369747899,1.00724848437139,"L1"
3.19327731092437,1.16175410089805,"L1"
3.27731092436975,0.908176453724781,"L1"
3.36134453781513,1.16141192071854,"L1"
3.4453781512605,0.872570788454709,"L1"
3.52941176470588,0.765553277424592,"L1"
3.61344537815126,1.12338261574365,"L1"
3.69747899159664,1.14989857098232,"L1"
3.78151260504202,0.953329096886539,"L1"
3.8655462184874,0.825346666207245,"L1"
3.94957983193277,1.19819307740152,"L1"
4.03361344537815,1.08095110582373,"L1"
4.11764705882353,1.14601210923095,"L1"
4.20168067226891,1.2670507516529,"L1"
4.28571428571429,0.904718214766474,"L1"
4.36974789915966,0.516669222543285,"L1"
4.45378151260504,0.674190623962676,"L1"
4.53781512605042,0.824509811100643,"L1"
4.6218487394958,0.665543103113929,"L1"
4.70588235294118,0.891628757925825,"L1"
4.78991596638656,0.43653816491693,"L1"
4.87394957983193,0.771736961265478,"L1"
4.95798319327731,0.789418742510833,"L1"
5.04201680672269,1.56101879324211,"L2"
5.12605042016807,1.19031830329039,"L2"
5.21008403361345,1.29484725888513,"L2"
5.29411764705882,1.23337264300142,"L2"
5.3781512605042,1.28370053809319,"L2"
5.46218487394958,1.23352303226182,"L2"
5.54621848739496,1.15092099960243,"L2"
5.63025210084034,1.16656566734784,"L2"
5.71428571428571,1.32896107104282,"L2"
5.79831932773109,0.853218640242798,"L2"
5.88235294117647,0.562740053177091,"L2"
5.96638655462185,0.859630168801308,"L2"
6.05042016806723,1.10427242108027,"L2"
6.13445378151261,0.823089691097271,"L2"
6.21848739495798,0.750545359611839,"L2"
6.30252100840336,0.960763674786856,"L2"
6.38655462184874,0.689760363110088,"L2"
6.47058823529412,0.803597582617452,"L2"
6.5546218487395,0.485702178890232,"L2"
6.63865546218487,0.749808318634065,"L2"
6.72268907563025,0.412279809076195,"L2"
6.80672268907563,0.427002733085688,"L2"
6.89075630252101,0.375209586642207,"L2"
6.97478991596639,0.547453287852823,"L2"
7.05882352941177,0.223852051064497,"L2"
7.14285714285714,0.0776685817399387,"L2"
7.22689075630252,0.763392775170337,"L2"
7.3109243697479,0.595291974147046,"L2"
7.39495798319328,0.14613130704094,"L2"
7.47899159663866,0.0162491418217205,"L2"
7.56302521008403,0.0978351629017676,"L2"
7.64705882352941,0.282262879804398,"L2"
7.73109243697479,0.188312543280391,"L2"
7.81512605042017,0.0567188600930716,"L2"
7.89915966386555,0.0457174413821083,"L2"
7.98319327731093,-0.0319741276358526,"L2"
8.0672268907563,-0.193402357797292,"L2"
8.15126050420168,-0.0745957218091597,"L2"
8.23529411764706,-0.0794266183536644,"L2"
8.31932773109244,0.320523854552687,"L2"
8.40336134453782,-0.219799160853158,"L2"
8.48739495798319,0.039794408924945,"L2"
8.57142857142857,-0.357509013335538,"L2"
8.65546218487395,-0.457367877262166,"L2"
8.73949579831933,-0.36173114527657,"L2"
8.82352941176471,-0.0618103665015235,"L2"
8.90756302521008,-0.382141186383337,"L2"
8.99159663865546,-0.388965325470294,"L2"
9.07563025210084,-0.303458590843812,"L2"
9.15966386554622,-0.262968580521406,"L2"
9.2436974789916,-0.328506418160761,"L2"
9.32773109243698,-0.126674944197107,"L2"
9.41176470588235,-0.260079768115507,"L2"
9.49579831932773,-0.0880365514328205,"L2"
9.57983193277311,-0.39975856316165,"L2"
9.66386554621849,0.0254437289091822,"L2"
9.74789915966387,-0.0943147874266349,"L2"
9.83193277310924,-0.2104365225193,"L2"
9.91596638655462,-0.0521240184891754,"L2"
10,-0.175704124090352,"L2"
