"gene","logFC","pvalue"
"PIPE1",1.52910197287104,0.0020253304974773
"PIPE2",2.22642671854287,0.111615990875862
"PIPE3",1.40759191320893,0.0336776914206146
"PIPE4",1.80436044264698,0.0427711727229891
"PIPE5",1.24543299259915,0.0271910884756376
"PIPE6",1.65008028725708,0.00995482470558267
"PIPE7",0.872387107703101,0.000248024015079076
"PIPE8",1.10850687803794,0.167725214710247
"PIPE9",0.249968216624568,0.749111059820362
"PIPE10",-0.246929101706205,0.584360878473416
"PIPE11",0.667978518500323,0.0323844567162296
"PIPE12",-0.375713378315172,0.255646861509078
"PIPE13",-1.38259061973459,0.133989042338099
"PIPE14",0.144829953981672,0.877610283223688
"PIPE15",0.4703561990253,0.360551723009432
"PIPE16",0.59791498339906,0.0975601133014178
"PIPE17",-0.0805384740662962,0.897780634257784
"PIPE18",0.456411269888573,0.363162122274499
"PIPE19",-0.158000254807905,0.716682393210916
"PIPE20",-0.365308139999512,0.640415157646177
"PIPE21",-0.952660331709191,0.133582382065225
"PIPE22",0.251677044170874,0.292600572647846
"PIPE23",0.424090693259544,0.610567040365006
"PIPE24",-0.565282202280204,0.128450868571834
"PIPE25",0.194223563071056,0.739170073631984
"PIPE26",-0.0381149891288421,0.854153965399908
"PIPE27",0.063704874424495,0.878891514270924
"PIPE28",-0.209249122405985,0.604805416451388
"PIPE29",-0.398640069991752,0.625558787532804
"PIPE30",-0.176217324227197,0.829242602348652
"PIPE31",0.0836538578444062,0.888653884374813
"PIPE32",-0.31265107711419,0.570958709060736
"PIPE33",-0.423865473112406,0.489633904254022
"PIPE34",-0.682499691765073,0.0936316004027989
"PIPE35",-0.0694560160706308,0.885081173771983
"PIPE36",0.388274709916482,0.685014481579276
"PIPE37",-1.26110707661931,0.103431010395886
"PIPE38",-0.38715891156589,0.339599294382505
"PIPE39",0.238453045992277,0.757578409859689
"PIPE40",-0.386978739405019,0.658203997939506
"PIPE41",0.467250602842873,0.0855597272811273
"PIPE42",1.64127422044779,0.0961069163416944
"PIPE43",0.151929112243455,0.773582395716634
"PIPE44",-1.03091904697328,0.274546095568364
"PIPE45",-0.197763828305206,0.823066762222357
"PIPE46",0.323046345431747,0.630857546121822
"PIPE47",-1.05990200741163,0.226111047776265
"PIPE48",1.19498750024039,0.0134212859826048
"PIPE49",0.173188139046079,0.736177575741677
"PIPE50",-0.849603536777458,0.0924636545179957
