"feature","RNA","Protein"
"F1",0.605295447141648,1.01699028543295
"F2",0.0331659769313424,-0.448194414871713
"F3",-0.829488068701891,-0.583328946689895
"F4",-0.0432141700201338,0.204288401493584
"F5",-0.781422440152212,-0.78070866624269
"F6",0.805398679137958,0.163914994624577
"F7",1.19041350482202,0.623603229738474
"F8",0.549200141145274,-0.102797081800666
"F9",-0.184340929546875,0.0701352600432719
"F10",2.23337186693742,2.16979853308757
"F11",-0.132566517767431,0.30706014045413
"F12",-0.416243819794979,-0.139985457871286
"F13",1.33774074032484,0.958740762158272
"F14",-1.73751433756291,-1.77506355974944
"F15",1.77498394246809,1.12229655630894
"F16",0.955896192351533,0.642385024607651
"F17",-1.22553535192973,-0.495155835368504
"F18",-3.14487985502825,-2.39944716258399
"F19",-1.80288966537365,-1.03381596970804
"F20",-0.0464272820425165,0.0258569650452096
"F21",-0.0927826760057637,-0.19216821976458
"F22",-0.521280307311181,-0.532924264923638
"F23",-0.506938111540007,-0.72275564480345
"F24",-0.941194853242547,-1.0529636181198
"F25",-0.0492535208112901,0.353338370743414
