"RNA_PC1","ATAC_PC1","cluster"
-1.04557448516584,0.771931836246838,"C1"
0.187284939099738,1.79427975206908,"C1"
0.617949523332282,0.695054038515569,"C1"
1.39153604523207,-1.20643952581632,"C1"
-0.11928244261787,1.49812772144482,"C1"
2.06218254603776,-0.67315645241033,"C1"
0.520478046143829,-0.955928612616908,"C1"
-0.333609071668391,-0.775108991435515,"C1"
-0.678402329529382,0.337051961381133,"C1"
1.47214045745047,0.0549535455319173,"C1"
-0.831848063170903,0.317034250673272,"C1"
0.163477885156101,-0.208226771820257,"C1"
-0.964700468584238,0.734621019711808,"C1"
-1.1049521210645,1.36280505425137,"C1"
-1.46466850085697,-0.214916409019965,"C1"
0.623985156617779,1.29249714201789,"C1"
1.05045268957622,-0.376734285599374,"C1"
-0.00173141607116906,0.130373716934206,"C1"
-0.420352757179729,0.432430517778622,"C1"
-0.548243511821183,0.0507219593921968,"C1"
-0.692061523688205,-0.0253325374889427,"C1"
-0.654088300365143,0.070188206743753,"C1"
-0.444939111798562,-0.822085412498378,"C1"
1.3114400960702,-1.09495326679411,"C1"
-1.45825238016508,-0.047139604252757,"C1"
0.990038805303596,-1.35818947877884,"C1"
-0.623264697321688,0.633978871560028,"C1"
0.00823938273842745,0.764659987596639,"C1"
1.0183336897698,2.74274794090866,"C1"
0.0182783726477773,0.903112075829164,"C1"
-1.17291373328038,-0.270576163497671,"C1"
-1.1843654279326,0.0274430445026488,"C1"
-0.003129526494592,0.975885785049345,"C1"
0.476477874483695,2.59651503062194,"C1"
0.698041232070359,1.69588982444418,"C1"
0.326774987453736,2.75444297595107,"C1"
-1.05814832103005,1.25650199496815,"C1"
-0.123039734411136,0.746568945101626,"C1"
1.91521554722551,0.0996274101954251,"C1"
-0.825015147673116,0.702467184018243,"C1"
-0.0440866562666635,0.259366373376581,"C1"
-0.636844105041294,0.42160017312022,"C1"
1.41513576558588,1.32437210412184,"C1"
-0.0403378177216638,1.52312028569224,"C1"
-1.1756021502186,0.378519710709629,"C1"
1.48916234358679,2.60013629303509,"C1"
0.644290102439002,-1.44839946827746,"C1"
-0.693574533870529,0.189908006963373,"C1"
-0.5056773729302,1.15538965390256,"C1"
-2.22969060983006,0.893206439350367,"C1"
0.0952689158355533,-0.538117473229833,"C1"
1.23830888766533,-1.44658039659579,"C1"
0.809783404565456,1.79706799131167,"C1"
-2.2525470422251,-0.567882651058298,"C1"
0.589473673310225,1.07227652180349,"C1"
1.55633520809992,1.01592910338094,"C1"
