"dose","viability","drug"
0.001,98.2220121527478,"DrugX"
0.00183298071083244,98.8156192020924,"DrugX"
0.00335981828628378,98.7455264458766,"DrugX"
0.00615848211066027,99.5939050575825,"DrugX"
0.0112883789168469,100.751812627514,"DrugX"
0.0206913808111479,101.529440107899,"DrugX"
0.0379269019073225,101.821019653228,"DrugX"
0.0695192796177561,94.4415332652609,"DrugX"
0.127427498570313,93.3296736839323,"DrugX"
0.233572146909012,79.5135053667468,"DrugX"
0.428133239871939,69.2627206118356,"DrugX"
0.784759970351461,49.2561593358845,"DrugX"
1.43844988828766,30.5875853603201,"DrugX"
2.63665089873036,18.7394427167144,"DrugX"
4.83293023857175,4.31589563611678,"DrugX"
8.85866790410082,4.60690834363905,"DrugX"
16.2377673918872,3.41895944510745,"DrugX"
29.7635144163132,2.24352764361591,"DrugX"
54.5559478116851,0,"DrugX"
100,0,"DrugX"
