"FPR","TPR"
0,0.002705327371812
0.0256410256410256,0.054980437984298
0.0512820512820513,0.107263492357409
0.0769230769230769,0.148993365356797
0.102564102564103,0.197363092725032
0.128205128205128,0.25419566527386
0.153846153846154,0.295834686616856
0.179487179487179,0.346969803045537
0.205128205128205,0.437615616237409
0.230769230769231,0.451827424325968
0.256410256410256,0.461164936729511
0.282051282051282,0.51896035944984
0.307692307692308,0.563757922117705
0.333333333333333,0.589480307757259
0.358974358974359,0.627359719287018
0.384615384615385,0.667053496674437
0.41025641025641,0.681902681346214
0.435897435897436,0.709439779978476
0.461538461538462,0.764562449764167
0.487179487179487,0.767809592342036
0.512820512820513,0.788422615957164
0.538461538461538,0.823319496077793
0.564102564102564,0.843040910968815
0.58974358974359,0.845815744193409
0.615384615384615,0.891924458217716
0.641025641025641,0.909985540350561
0.666666666666667,0.912082069289208
0.692307692307692,0.921835223154218
0.717948717948718,0.951715850780003
0.743589743589744,0.952826015334741
0.769230769230769,0.961899697844628
0.794871794871795,0.964910489558439
0.82051282051282,0.98005856833595
0.846153846153846,0.980592623726337
0.871794871794872,0.985111905980474
0.897435897435897,0.990361454997875
0.923076923076923,0.995348676142239
0.948717948717949,0.996567284508255
0.974358974358974,1
1,1
