"CLP","Steady","gene","panel"
1.91972290056595,2.12808838950445,"Hspa5","内质网应激基因"
0.555286960445878,0.866233354102826,"Atf4","内质网应激基因"
0.593668625746918,0.662708504714301,"Xbp1","内质网应激基因"
0.212198213697315,0.330667897814664,"Ddit3","内质网应激基因"
0.37312124947522,1.01094802491827,"Hspa1a","内质网应激基因"
0.0689997266928826,0.109446746607775,"Eif2ak3","内质网应激基因"
0.615919302241993,0.664251358842792,"Herpud1","内质网应激基因"
0.0675084586632924,0.0918608347968961,"Ern1","内质网应激基因"
0.327446408902695,0.434861729190423,"Atf6","内质网应激基因"
0.733421433525435,0.678075460032616,"Manf","内质网应激基因"
0.314298725910473,0.41813300440627,"Dnajb9","内质网应激基因"
1.62440988876598,1.79490382513487,"Calr","内质网应激基因"
1.20579737873917,1.3128409718659,"Canx","内质网应激基因"
0.846728334645984,1.0738318798157,"Ppp1r15a","内质网应激基因"
0.0288202941338462,0.0400247195690243,"Wfs1","内质网应激基因"
0.313584396833634,0.308352304960351,"Edem1","内质网应激基因"
0.599118280331559,0.518951672879909,"Sirt2","内质网应激基因"
0.105593221592778,0.164887523795766,"Foxo1","内质网应激基因"
