"PC1","PC2","batch","stage"
-0.013040261628763,0.805056084066349,"Batch1","before"
-0.41065517739608,0.156268000954199,"Batch1","before"
1.53729442487712,-0.548823780567476,"Batch1","before"
-0.293601023288606,1.03076059682809,"Batch1","before"
0.429881687068536,-0.871395580869922,"Batch1","before"
2.14462198279258,0.34758392725897,"Batch1","before"
-0.95542647347045,-1.07230462852497,"Batch1","before"
-1.37147065357312,3.06327689159195,"Batch1","before"
-0.435401573291954,-0.541784070084321,"Batch1","before"
-0.758122293774812,1.65884895010152,"Batch1","before"
0.0496659684380551,0.0684437435066895,"Batch1","before"
1.42290651305509,0.869797160367386,"Batch1","before"
-0.439168009617506,-0.390860379590791,"Batch1","before"
-0.192720367570648,-1.06917909358141,"Batch1","before"
-0.592709800117075,-0.112932770638479,"Batch1","before"
-1.45964583191137,-1.44601552001193,"Batch1","before"
0.141873015134308,-0.947047933060812,"Batch1","before"
0.289264186690584,-1.11426856794317,"Batch1","before"
-0.398850108256289,0.278180751615426,"Batch1","before"
-0.956860549363027,1.84145232382873,"Batch1","before"
-0.146938664909927,0.76947672348404,"Batch1","before"
-1.38535946915616,-0.813884973336144,"Batch1","before"
0.0910635262015709,-0.27296744799036,"Batch1","before"
0.470684983807358,-2.43719022926581,"Batch1","before"
0.977800945456627,0.890842638569192,"Batch1","before"
0.926899706948045,-0.925874996293665,"Batch1","before"
1.73067980632186,0.662008422316341,"Batch1","before"
-0.479810308077187,-0.0330345517830489,"Batch1","before"
-2.14294297643189,-0.0159837449767417,"Batch1","before"
-1.84398183626524,0.430057908178698,"Batch1","before"
3.5577951633168,0.615795500386375,"Batch2","before"
3.26242763792389,0.554415714097652,"Batch2","before"
3.07241715791881,-0.202068400520666,"Batch2","before"
3.477781270443,0.725721237969043,"Batch2","before"
3.54914927711303,0.356124600035488,"Batch2","before"
2.08726750018286,-1.47987331389025,"Batch2","before"
2.94359133581018,-1.36139126036713,"Batch2","before"
4.57959886867044,0.115019701506027,"Batch2","before"
3.59093838552109,-0.433880985274069,"Batch2","before"
4.0570953216353,0.130842025593109,"Batch2","before"
1.6098868962906,0.529026997060127,"Batch2","before"
1.46423996329659,0.215272063547407,"Batch2","before"
3.09625047149229,-1.59994892556634,"Batch2","before"
2.32817487436742,0.477640961917836,"Batch2","before"
3.07449952401558,1.34924761464375,"Batch2","before"
3.41929536567338,1.24033029893937,"Batch2","before"
1.63192424821834,0.00104502970269673,"Batch2","before"
2.51642028994505,0.235927921223406,"Batch2","before"
4.63553615002685,-1.34066774475154,"Batch2","before"
3.90320087824872,0.0317003128352976,"Batch2","before"
3.7031722907009,0.645148566990655,"Batch2","before"
2.10088707359148,-0.166213903293813,"Batch2","before"
2.25961902004587,-0.0447153298581283,"Batch2","before"
4.30646961895064,-0.44988532094273,"Batch2","before"
3.460479192107,1.6931299980759,"Batch2","before"
4.08124655645486,0.0373700985126549,"Batch2","before"
3.31775600854223,-1.52944025736745,"Batch2","before"
2.71411298707915,0.27423876118781,"Batch2","before"
4.95177086833173,0.846660022736991,"Batch2","before"
4.59024875726939,0.402365163812199,"Batch2","before"
0.0667757990535499,0.805056084066349,"Batch1","after"
-0.645858422565399,0.156268000954199,"Batch1","after"
1.72989132254113,-0.548823780567476,"Batch1","after"
-0.39166087796259,1.03076059682809,"Batch1","after"
0.138113618522856,-0.871395580869922,"Batch1","after"
1.97883403644052,0.34758392725897,"Batch1","after"
-1.56263233581765,-1.07230462852497,"Batch1","after"
-1.16979237695565,3.06327689159195,"Batch1","after"
-0.44336669385061,-0.541784070084321,"Batch1","after"
-0.966427360952938,1.65884895010152,"Batch1","after"
-0.0703831723715142,0.0684437435066895,"Batch1","after"
1.30114978001499,0.869797160367386,"Batch1","after"
-0.522989432809994,-0.390860379590791,"Batch1","after"
-0.309999510730044,-1.06917909358141,"Batch1","after"
-0.734724007598656,-0.112932770638479,"Batch1","after"
-1.11051963617789,-1.44601552001193,"Batch1","after"
0.597789382408494,-0.947047933060812,"Batch1","after"
0.385802809854273,-1.11426856794317,"Batch1","after"
-0.469202920238377,0.278180751615426,"Batch1","after"
-0.892797058809105,1.84145232382873,"Batch1","after"
-0.145796347197189,0.76947672348404,"Batch1","after"
-1.35130325725963,-0.813884973336144,"Batch1","after"
-0.180670678813506,-0.27296744799036,"Batch1","after"
0.511484581203291,-2.43719022926581,"Batch1","after"
1.11388301911207,0.890842638569192,"Batch1","after"
0.932205238815981,-0.925874996293665,"Batch1","after"
1.65948074819938,0.662008422316341,"Batch1","after"
-0.488859046560227,-0.0330345517830489,"Batch1","after"
-2.14505389754953,-0.0159837449767417,"Batch1","after"
-1.52502427589004,0.430057908178698,"Batch1","after"
0.803430853987387,0.615795500386375,"Batch2","after"
0.65706642385787,0.554415714097652,"Batch2","after"
0.654866985371924,-0.202068400520666,"Batch2","after"
1.0086732279775,0.725721237969043,"Batch2","after"
0.794010162994097,0.356124600035488,"Batch2","after"
-0.455044158305632,-1.47987331389025,"Batch2","after"
0.438854421239109,-1.36139126036713,"Batch2","after"
1.87604903840044,0.115019701506027,"Batch2","after"
1.3040756111447,-0.433880985274069,"Batch2","after"
1.29588270501612,0.130842025593109,"Batch2","after"
-0.829224937955529,0.529026997060127,"Batch2","after"
-0.746111251601317,0.215272063547407,"Batch2","after"
0.484708488299317,-1.59994892556634,"Batch2","after"
-0.266453125463604,0.477640961917836,"Batch2","after"
0.729252522564431,1.34924761464375,"Batch2","after"
0.936398939196687,1.24033029893937,"Batch2","after"
-0.814472588902977,0.00104502970269673,"Batch2","after"
-0.338477522368745,0.235927921223406,"Batch2","after"
2.22032953567367,-1.34066774475154,"Batch2","after"
1.1004402237609,0.0317003128352976,"Batch2","after"
1.13573697235962,0.645148566990655,"Batch2","after"
-0.491477802972715,-0.166213903293813,"Batch2","after"
-0.373116090918329,-0.0447153298581283,"Batch2","after"
1.87986186834803,-0.44988532094273,"Batch2","after"
0.911632293469124,1.6931299980759,"Batch2","after"
1.44229160775853,0.0373700985126549,"Batch2","after"
0.808530057597386,-1.52944025736745,"Batch2","after"
0.082358580827719,0.27423876118781,"Batch2","after"
2.19126481197802,0.846660022736991,"Batch2","after"
1.97342070607323,0.402365163812199,"Batch2","after"
