"metabolite","S1","S2","S3","S4","S5","S6","S7","S8"
"M1",18.72020192825,32.2288007558154,17.6986930825886,31.7172454583231,9.82082399988105,5.41454909064294,5.27352054155831,16.2833373991043
"M2",23.8403329718099,25.9484779440268,26.6526273726221,24.1237074456819,9.33300532095329,10.4029943875591,9.45285760576581,10.9262577685189
"M3",24.5374877844159,27.3100126192145,28.0312993266563,18.772253090953,6.25272671130708,11.1188131321371,9.94457341441764,10.7485945830395
"M4",22.45264259513,20.5101845603041,27.38140847701,26.2134936404704,14.8656434662739,10.3610016022545,6.44463607718393,10.0328959069593
"M5",18.1838135920292,18.5626071440965,30.9490323588267,17.9925433674637,9.44543306367904,11.7349246894367,12.7466098112718,9.9925111455777
"M6",30.6716951824279,14.4099288879609,5.57720917379824,29.2006387718194,9.40560800180365,8.506544152771,12.4486682356327,14.9069100635071
"M7",6.21763516611348,12.6132761764128,9.92949220285141,13.8221465888819,12.3789997316859,7.84642293966465,4.8208616029482,13.3875756503321
"M8",7.81941973349687,5.4344802316216,10.0004679669027,12.9708617579039,10.4978602677514,14.0290927819582,7.42525204260686,7.55117081907985
"M9",9.30597589577545,15.1195532099542,10.1766331126387,8.24037913157889,11.4661691071713,5.72902389506453,6.61476393985365,9.4325824457785
"M10",11.8239830124915,5.2158237910256,15.6686138909516,9.96376514254118,9.28420465390415,8.18799686236299,11.3498333231432,9.8302486737131
"M11",13.0648894980722,8.21781508303624,9.67369688631845,8.74495720096858,8.78037409634966,9.19352196810929,11.4548437438984,14.0265642569914
"M12",12.8311772012269,10.6168374810405,10.5779304739992,8.73684370916734,7.39889374670699,8.3246087351879,16.7759461670566,7.74477034097567
"M13",12.8350581639373,1.80455583714001,7.04979497172777,12.5171064023886,8.78029843504289,10.5304700043917,2.54152523310327,16.6704084936385
"M14",12.5475414331102,9.73770977114741,7.22960070061606,6.56128513598531,10.2035318814922,3.55264045736559,10.386552906936,15.9959916080297
"M15",7.81701098894311,7.65278983882479,12.1788724647252,13.5994906676042,11.776951233563,9.28436720174965,5.7818532961894,9.29157188876943
"M16",7.04723721158543,4.73855724525321,13.7453385766421,8.04654954525495,11.4527344732518,10.0764248103127,12.5389002766376,8.80342941044975
"M17",12.3226992387666,8.33012860882737,5.73026489814535,9.8119586716601,10.0000516484837,11.2530082389797,13.2277451774671,10.7768549352245
"M18",8.51796837428565,7.27383318974581,11.0292433457491,7.83352500760418,14.4082287644086,10.5031350226184,11.3375649734099,14.9739524914284
"M19",8.6445022347106,14.414404885787,8.92432431511288,14.7693970129344,7.40677583911723,12.3765281661797,7.81852980994001,12.950926911017
"M20",11.6668255730956,13.7946909731379,11.8067867173882,12.2992641608536,8.76843538044999,14.6272141392213,8.78289108350981,14.1595308226713
"M21",11.6913211428855,8.95288071037276,6.06186972654192,10.4534057052388,7.33834649394512,12.807872768795,10.3984613474338,4.49387826317136
"M22",11.0742394814088,5.08312356381765,7.71942458798807,15.4209385851512,8.37246754257291,8.83833018507998,12.0602669215474,8.04967407322444
"M23",7.04745516725716,9.78573145853345,13.2058936338861,11.7740214166613,12.0781419840988,9.24875223289381,17.320585797085,14.7686271780961
"M24",7.96564501544067,11.5347174298259,7.6792448094749,5.45811049968881,4.5450892396986,7.28133080056709,13.8090691266367,11.209823442369
"M25",12.3376599641916,6.86708380337502,11.0812504149906,8.47748889924143,7.63449322102404,10.6693066323288,4.16499471710422,9.66494383835945
"M26",10.4428467203759,8.58261731842947,4.01522285631872,6.16433954495842,16.1601776774254,11.4829460612689,10.0634505320601,10.370855141262
"M27",9.39222075013535,14.6157749057556,15.9659478681711,12.204222997413,11.2997607352418,11.572838311264,8.47420056046328,5.92996443961291
"M28",6.66778143488427,11.4626899788386,13.1360791321804,10.2576928973813,11.3972970242854,7.97952684198001,12.9668370766687,10.9957939050283
"M29",16.9303900073637,11.1069600853873,9.84143135272093,9.83069849666698,12.7793520869753,15.063672245943,5.53547827723072,5.28874332104822
"M30",12.0096117068514,12.313633052755,5.66519342313039,7.08440272645656,4.16321725298496,11.2353954240704,5.98482890294422,10.3291649634407
"M31",8.11423222432579,10.6659777985979,8.09136457128148,7.23789875795547,7.69200707646801,9.56428162634204,8.1225856157202,12.1847963283777
"M32",7.38782194094547,13.3957631938556,12.1923082789318,10.6883198939522,13.0509688832344,14.0211113796631,4.49316656357392,9.95567530499996
"M33",10.1394771132505,17.6612675769457,13.4172058190621,7.62881055987444,4.68774729902151,7.23539863705367,9.71745051416967,6.47608117739645
"M34",12.0158175037998,10.0767091098863,10.6096845186769,8.72577291154769,11.6623628094681,6.13072373593601,9.79706866164396,7.12688011545103
"M35",9.21543089056305,13.2984827336978,8.17336508258769,14.3653629882808,9.96289185125094,11.6169479187114,9.1936335343832,10.9849835506077
"M36",6.16206063654105,7.87827844057802,8.50477487389059,10.9407158460137,3.34323498776391,5.71821194740351,12.7592298783037,11.1600297119334
"M37",12.8936448040636,5.91703884774548,9.16237070916504,8.95443865377595,6.66764110383633,10.7564624025242,12.8713156166448,6.8120817142741
"M38",11.6872591420892,11.5360763088806,9.78053632732851,13.2405732233624,7.46149202919195,12.4390455093145,7.02427023042096,8.25022598993867
"M39",7.08471810135252,12.6444588900474,8.64594825500339,5.20482893678801,6.90665401634184,9.74327648637684,4.2973795527174,4.72302444698657
"M40",9.78490275679892,13.1969764862123,5.92686550456979,7.39370885490129,6.89084862189968,9.49368692003052,6.37389843887808,14.308260203618
