"FPR","TPR"
0,0.00133214841487357
0.0204081632653061,0.0596682101372338
0.0408163265306122,0.105102752910543
0.0612244897959184,0.175892519886382
0.0816326530612245,0.216223578091101
0.102040816326531,0.282215612498076
0.122448979591837,0.326400021067628
0.142857142857143,0.36059730148411
0.163265306122449,0.413995440697954
0.183673469387755,0.465080304371605
0.204081632653061,0.481024339681817
0.224489795918367,0.542627798722008
0.244897959183673,0.561059045371408
0.26530612244898,0.607140181539301
0.285714285714286,0.637691106928969
0.306122448979592,0.656145867996635
0.326530612244898,0.688961703978673
0.346938775510204,0.710233730470495
0.36734693877551,0.748435054722466
0.387755102040816,0.749717416381796
0.408163265306122,0.79556360278614
0.428571428571429,0.816458191373877
0.448979591836735,0.838859865216974
0.469387755102041,0.856859669054714
0.489795918367347,0.873728043407765
0.510204081632653,0.874881567093835
0.530612244897959,0.889193016721487
0.551020408163265,0.908751746383912
0.571428571428571,0.931125419986865
0.591836734693878,0.940381760844202
0.612244897959184,0.940381760844202
0.63265306122449,0.950919438952156
0.653061224489796,0.960020375178869
0.673469387755102,0.963162415138613
0.693877551020408,0.974254660738082
0.714285714285714,0.988538844976219
0.73469387755102,0.988538844976219
0.755102040816326,1
0.775510204081633,1
0.795918367346939,1
0.816326530612245,1
0.836734693877551,1
0.857142857142857,1
0.877551020408163,1
0.897959183673469,1
0.918367346938775,1
0.938775510204082,1
0.959183673469388,1
0.979591836734694,1
1,1
