"gene","logFC","pvalue","padj"
"GENE8",1.53421593663612,0.00619222887778138,0.167654425543794
"GENE9",1.3282977025366,0.00859309915793099,0.167654425543794
"GENE11",1.27295018696514,0.00985653664461397,0.167654425543794
"GENE3",1.15734820508316,0.013640254696556,0.167654425543794
"GENE26",0.812303999633869,0.0166417574334949,0.167654425543794
"GENE5",1.57201553803053,0.0184346030745112,0.167654425543794
"GENE10",1.33972215808369,0.0195596829801093,0.167654425543794
"GENE7",1.16910044226434,0.0243731468142805,0.182798601107104
"GENE52",1.22393219322872,0.0325280421044198,0.216853614029465
"GENE12",1.87666294216851,0.0368776467096251,0.22126588025775
"GENE6",1.53164886309793,0.0538008011639644,0.293458915439806
"GENE2",1.30289086470385,0.0891646718483335,0.445823359241667
"GENE1",1.00895805592058,0.100077883965562,0.461897925994901
"GENE17",0.653119338500884,0.111998059495027,0.479991683550117
"GENE22",0.381682232523333,0.134620886205751,0.538483544823002
"GENE4",2.02584546799369,0.168650620485569,0.552616065785453
"GENE41",-0.989505011080047,0.177073052845878,0.552616065785453
"GENE53",-0.156088758670687,0.188994943067384,0.552616065785453
"GENE16",-0.546556130937097,0.191453328741955,0.552616065785453
"GENE43",-0.748887145366531,0.204444282168495,0.552616065785453
"GENE60",-0.553881834406084,0.206454402003729,0.552616065785453
"GENE54",-0.23452111092547,0.214066508275407,0.552616065785453
"GENE29",-0.544655146751025,0.214485175515949,0.552616065785453
"GENE37",-0.884887967602385,0.225199080808446,0.552616065785453
"GENE48",-0.566057703723049,0.230256694077272,0.552616065785453
"GENE49",-0.569252805027926,0.259969951674983,0.599930657711499
"GENE46",0.290591429946025,0.327571717712842,0.726086642988841
"GENE39",-0.57348228561148,0.340783509004048,0.726086642988841
"GENE19",-0.443615804191961,0.350941877444606,0.726086642988841
"GENE55",-0.700544741148983,0.378741158959117,0.732248754388305
"GENE56",-0.274322704021142,0.384838881327087,0.732248754388305
"GENE51",-0.40427438533413,0.390532669007096,0.732248754388305
"GENE28",0.239409677194873,0.417052974872802,0.758278136132367
"GENE25",0.408396340101501,0.451026478648941,0.795929079968719
"GENE35",0.406700203276152,0.465380338713964,0.797794866366796
"GENE59",-0.471545564995512,0.495420082791654,0.825557437520099
"GENE47",-0.318189523584331,0.509093753137395,0.825557437520099
"GENE36",-0.340885614463071,0.528569909355745,0.834584067403807
"GENE33",0.404579703192339,0.57081284789175,0.837006206311405
"GENE50",0.152872255618581,0.578366163466366,0.837006206311405
"GENE38",-0.328500143434962,0.590054703540204,0.837006206311405
"GENE18",0.223378247794525,0.594192116832977,0.837006206311405
"GENE24",0.320139188513849,0.599854447856507,0.837006206311405
"GENE13",-0.264893697340831,0.665517803222268,0.869370187217794
"GENE57",-0.217415820011289,0.667483469968317,0.869370187217794
"GENE45",-0.198426141842773,0.67915647647444,0.869370187217794
"GENE23",-0.244302590397579,0.681006646653938,0.869370187217794
"GENE27",0.168014168445863,0.712483388295107,0.882861860180018
"GENE34",0.154434766491629,0.722941098180383,0.882861860180018
"GENE32",-0.189464602200938,0.735718216816682,0.882861860180018
"GENE40",0.152778111093798,0.761492827867543,0.895873915138285
"GENE58",-0.10019471471673,0.77988737061811,0.897788000005716
"GENE44",-0.100885994948763,0.793046066671716,0.897788000005716
"GENE31",0.0800134290519576,0.834550245769573,0.919714266967981
"GENE14",-0.0588732180054397,0.852139639671324,0.919714266967981
"GENE30",0.140525369636157,0.873694909362059,0.919714266967981
"GENE20",-0.0794583260247821,0.887178977052405,0.919714266967981
"GENE15",0.0655018342519487,0.889057124735715,0.919714266967981
"GENE21",-0.0252916223250423,0.952110673549332,0.968248142592541
"GENE42",-0.00676233804832815,0.989282192757322,0.989282192757322
