"gene","logFC","AveExpr","t","P.Value","padj"
"ENSG00000152583",4.57485503373123,4.16752647362751,18.5276044254881,2.19474369797362e-08,0.000204402845451622
"ENSG00000134686",1.38113916066503,6.83953347525461,16.8997632471002,4.85325851038151e-08,0.000204402845451622
"ENSG00000179094",3.1858702422794,4.42104463640816,16.5930096661471,5.68182992036994e-08,0.000204402845451622
"ENSG00000125148",2.19807539030345,7.02469485761185,16.3761511858161,6.36218887677025e-08,0.000204402845451622
"ENSG00000148175",1.4402884856526,8.85665287015356,16.3597328305919,6.41726878851005e-08,0.000204402845451622
"ENSG00000120129",2.95272386593591,6.64507758000868,15.7978322221798,8.6626723587124e-08,0.000228339129149865
"ENSG00000196517",-2.21491716314014,3.02695428987251,-15.0590976961636,1.30537337945e-07,0.000228339129149865
"ENSG00000183044",1.1485320366004,4.43268344652633,15.0305505871898,1.32671912806727e-07,0.000228339129149865
"ENSG00000178695",-2.53096844600963,6.45234766031416,-14.8857597044756,1.4411207394634e-07,0.000228339129149865
"ENSG00000189221",3.33344285668439,5.95118193868927,14.7584089712259,1.55083196984663e-07,0.000228339129149865
"ENSG00000101347",3.78214672645674,8.13587917768475,14.5983094877479,1.70211007248356e-07,0.000228339129149865
"ENSG00000162616",1.50907320047042,5.9055452336724,14.5799285591122,1.72050078475347e-07,0.000228339129149865
"ENSG00000162614",2.03578826348381,7.63847305028851,14.3586590342125,1.96006805691991e-07,0.000240123414419281
"ENSG00000144369",-1.35721274049682,5.77516823500729,-14.0870505858824,2.30611951447364e-07,0.000262337567053623
"ENSG00000179593",8.0240081602444,-1.47925282495331,13.7818095420704,2.77811874491199e-07,0.000282998574066373
"ENSG00000096060",4.01124485821691,5.7813838360671,13.7027041984176,2.91727528337365e-07,0.000282998574066373
"ENSG00000116584",-1.02672312483439,6.63074232762327,-13.6465034407205,3.0208311937262e-07,0.000282998574066373
"ENSG00000077684",1.19734081995141,6.07447018819144,13.1395719651258,4.16308015097774e-07,0.000355915419219114
"ENSG00000181467",-1.27200249139827,4.74602715317228,-13.1089193478818,4.24613397285142e-07,0.000355915419219114
"ENSG00000114098",1.34035231450079,5.40540731947372,12.7025658313955,5.53962883434442e-07,0.000404643492473884
