"probe","A","M"
"P1",10.0487059629824,1.13212726516003
"P2",5.93296099098462,-2.02939933230452
"P3",8.7942675466351,1.04416151989473
"P4",7.39192944365948,-1.44637144254595
"P5",8.74615683996893,1.15607242411075
"P6",8.25944841977009,-0.509321871521522
"P7",8.06347494527076,0.679187828222833
"P8",7.14475417891541,0.357204604765172
"P9",9.47236354116299,-0.0679726296239898
"P10",8.28885624869925,-0.609566012081079
"P11",9.84362025860968,-0.490555925770561
"P12",7.72778532890383,0.0958195127279245
"P13",8.08483540130386,0.600900782335029
"P14",7.36427211227277,-0.912814534861525
"P15",6.7075581443449,0.361420285226428
"P16",10.0619830377769,-0.280842167620376
"P17",6.50277684283908,0.895468875625192
"P18",8.63871314240727,-0.205797278228295
"P19",9.13168742023632,-0.968596711716022
"P20",8.65825761202854,-0.233300835206439
"P21",10.2038267900631,-0.199976238070664
"P22",6.29324300199503,0.311153145375148
"P23",9.01606463558493,-0.793654661004208
"P24",8.61617341537856,-0.385060833963039
"P25",10.5478625310878,0.288497385727662
"P26",8.23237480955611,0.424254573460914
"P27",9.09886731821097,-0.649982320409794
"P28",7.75103510431511,-0.294894660054518
"P29",7.48325609956923,0.362700366478329
"P30",8.23341465275827,0.0431043819838308
"P31",5.80390596241805,0.545195486527969
"P32",9.50556512140512,-0.448348683209752
"P33",7.3297484382311,0.385230679456394
"P34",7.87878685930559,0.296209858643374
"P35",10.4076482818778,-0.00719163412989631
"P36",7.52677817556521,-0.0994553517340523
"P37",7.18122833639315,0.413619864153945
"P38",9.9255801162573,-0.572109276955657
"P39",5.88905589571537,-0.114996149350531
"P40",8.50905326465451,0.0682105798603381
"P41",9.01557812850194,-0.556901155410345
"P42",8.11403921046056,0.327549466688717
"P43",8.94234930067467,0.684112835269127
"P44",7.92696486243521,0.145510232549703
"P45",7.64262801509891,-0.0340434747908685
"P46",9.55823584226834,-0.0073014782818209
"P47",8.8839234822767,0.255048247851046
"P48",7.71703968015902,-0.758765666051502
"P49",7.99259304530748,0.731995488675144
"P50",9.01294204332864,-0.231516318773816
"P51",7.65702767375821,0.191270713286412
"P52",8.80154914444873,0.690688450947435
"P53",8.97974595727334,0.00686232569166125
"P54",8.94999672307222,0.568370749764577
"P55",6.74116120180209,0.410915964499335
"P56",9.03178015984108,-0.198075117357265
"P57",6.85108602838745,-0.325828199925312
"P58",7.58644346969269,-0.212143693115096
"P59",7.33633006235527,0.127752523100965
"P60",7.85115926986402,-0.390390354374647
"P61",7.52322249736855,0.510870832219993
"P62",7.94016241972598,0.293920887201051
"P63",6.83112217511746,0.320112273348899
"P64",9.20790682752472,0.21706107580691
"P65",9.3978896471525,-0.98994242481418
"P66",5.89622429891632,0.0464789932329604
"P67",7.56483702563883,-0.707526077014855
"P68",6.47175539928533,-0.479976826525951
"P69",8.8770446823154,0.35116108065647
"P70",7.63167168745299,-0.0668884331649139
"P71",9.95152130001847,0.276970870066954
"P72",7.46954494740067,-0.993277019034345
"P73",8.86405986562299,0.392502533016222
"P74",8.01872759718095,0.563738843788826
"P75",8.5766592128511,-0.181469178853836
"P76",7.8856803227859,0.174651720848328
"P77",7.08629022777902,0.102070275870318
"P78",7.53977668050807,0.17302686162876
"P79",8.96430883736674,-0.261817618079045
"P80",7.97210237102698,-0.266774557653387
