"bin_i","bin_j","contact"
"bin1","bin1",1.02687441642031
"bin2","bin1",0.743405726994099
"bin3","bin1",0.540291535452902
"bin4","bin1",0.394753857591752
"bin5","bin1",0.290471554536036
"bin6","bin1",0.215750019257871
"bin7","bin1",0.162209699656922
"bin8","bin1",0.123846384284715
"bin9","bin1",0.0963578676431111
"bin10","bin1",0.0766614847881735
"bin11","bin1",0.0625484097675619
"bin12","bin1",0.0524359496268169
"bin1","bin2",0.743405726994099
"bin2","bin2",1.02687441642031
"bin3","bin2",0.743405726994099
"bin4","bin2",0.540291535452902
"bin5","bin2",0.394753857591752
"bin6","bin2",0.290471554536036
"bin7","bin2",0.215750019257871
"bin8","bin2",0.162209699656922
"bin9","bin2",0.123846384284715
"bin10","bin2",0.0963578676431111
"bin11","bin2",0.0766614847881735
"bin12","bin2",0.0625484097675619
"bin1","bin3",0.540291535452902
"bin2","bin3",0.743405726994099
"bin3","bin3",1.02687441642031
"bin4","bin3",0.743405726994099
"bin5","bin3",0.540291535452902
"bin6","bin3",0.394753857591752
"bin7","bin3",0.290471554536036
"bin8","bin3",0.215750019257871
"bin9","bin3",0.162209699656922
"bin10","bin3",0.123846384284715
"bin11","bin3",0.0963578676431111
"bin12","bin3",0.0766614847881735
"bin1","bin4",0.394753857591752
"bin2","bin4",0.540291535452902
"bin3","bin4",0.743405726994099
"bin4","bin4",1.02687441642031
"bin5","bin4",0.743405726994099
"bin6","bin4",0.540291535452902
"bin7","bin4",0.394753857591752
"bin8","bin4",0.290471554536036
"bin9","bin4",0.215750019257871
"bin10","bin4",0.162209699656922
"bin11","bin4",0.123846384284715
"bin12","bin4",0.0963578676431111
"bin1","bin5",0.290471554536036
"bin2","bin5",0.394753857591752
"bin3","bin5",0.540291535452902
"bin4","bin5",0.743405726994099
"bin5","bin5",1.02687441642031
"bin6","bin5",0.743405726994099
"bin7","bin5",0.540291535452902
"bin8","bin5",0.394753857591752
"bin9","bin5",0.290471554536036
"bin10","bin5",0.215750019257871
"bin11","bin5",0.162209699656922
"bin12","bin5",0.123846384284715
"bin1","bin6",0.215750019257871
"bin2","bin6",0.290471554536036
"bin3","bin6",0.394753857591752
"bin4","bin6",0.540291535452902
"bin5","bin6",0.743405726994099
"bin6","bin6",1.02687441642031
"bin7","bin6",0.743405726994099
"bin8","bin6",0.540291535452902
"bin9","bin6",0.394753857591752
"bin10","bin6",0.290471554536036
"bin11","bin6",0.215750019257871
"bin12","bin6",0.162209699656922
"bin1","bin7",0.162209699656922
"bin2","bin7",0.215750019257871
"bin3","bin7",0.290471554536036
"bin4","bin7",0.394753857591752
"bin5","bin7",0.540291535452902
"bin6","bin7",0.743405726994099
"bin7","bin7",1.02687441642031
"bin8","bin7",0.743405726994099
"bin9","bin7",0.540291535452902
"bin10","bin7",0.394753857591752
"bin11","bin7",0.290471554536036
"bin12","bin7",0.215750019257871
"bin1","bin8",0.123846384284715
"bin2","bin8",0.162209699656922
"bin3","bin8",0.215750019257871
"bin4","bin8",0.290471554536036
"bin5","bin8",0.394753857591752
"bin6","bin8",0.540291535452902
"bin7","bin8",0.743405726994099
"bin8","bin8",1.02687441642031
"bin9","bin8",0.743405726994099
"bin10","bin8",0.540291535452902
"bin11","bin8",0.394753857591752
"bin12","bin8",0.290471554536036
"bin1","bin9",0.0963578676431111
"bin2","bin9",0.123846384284715
"bin3","bin9",0.162209699656922
"bin4","bin9",0.215750019257871
"bin5","bin9",0.290471554536036
"bin6","bin9",0.394753857591752
"bin7","bin9",0.540291535452902
"bin8","bin9",0.743405726994099
"bin9","bin9",1.02687441642031
"bin10","bin9",0.743405726994099
"bin11","bin9",0.540291535452902
"bin12","bin9",0.394753857591752
"bin1","bin10",0.0766614847881735
"bin2","bin10",0.0963578676431111
"bin3","bin10",0.123846384284715
"bin4","bin10",0.162209699656922
"bin5","bin10",0.215750019257871
"bin6","bin10",0.290471554536036
"bin7","bin10",0.394753857591752
"bin8","bin10",0.540291535452902
"bin9","bin10",0.743405726994099
"bin10","bin10",1.02687441642031
"bin11","bin10",0.743405726994099
"bin12","bin10",0.540291535452902
"bin1","bin11",0.0625484097675619
"bin2","bin11",0.0766614847881735
"bin3","bin11",0.0963578676431111
"bin4","bin11",0.123846384284715
"bin5","bin11",0.162209699656922
"bin6","bin11",0.215750019257871
"bin7","bin11",0.290471554536036
"bin8","bin11",0.394753857591752
"bin9","bin11",0.540291535452902
"bin10","bin11",0.743405726994099
"bin11","bin11",1.02687441642031
"bin12","bin11",0.743405726994099
"bin1","bin12",0.0524359496268169
"bin2","bin12",0.0625484097675619
"bin3","bin12",0.0766614847881735
"bin4","bin12",0.0963578676431111
"bin5","bin12",0.123846384284715
"bin6","bin12",0.162209699656922
"bin7","bin12",0.215750019257871
"bin8","bin12",0.290471554536036
"bin9","bin12",0.394753857591752
"bin10","bin12",0.540291535452902
"bin11","bin12",0.743405726994099
"bin12","bin12",1.02687441642031
