"window","Fst"
1,0.0869484312940298
2,0.0612115448584544
3,0.0293207110309548
4,0.0743547893055533
5,0.0792236619893747
6,0.0655806136144232
7,0.0379787199187492
8,0.32
9,0.0559681034563229
10,0.0392394824704814
11,0.0463465796307145
12,0.0512627164634334
13,0
14,0.0173363989034292
15,0
16,0.0610510109837471
17,0
18,0.0988635991485534
19,0.069239357212534
20,0.0188351395409811
21,0.0871885734787676
22,0.28
23,0.0461385737885386
24,0
25,0.0588552283435779
26,0.123839802836681
27,0.0505286807921523
28,0.0547395829846402
29,0.0391710002941905
30,0.0183624380499628
31,0.0821305370648257
32,0.0247653028547372
33,0.41
34,0.0220240958369505
35,0.0348715105202204
36,0.0118477390843312
37,0.0307664505939959
38,0.0803150758503475
39,0.0391896585063686
40,0.058038054443747
